,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
Hitman Collection,2,59.0,29.5,181.933203,90.9666015,5.7,12.24352,3.253583425595238,1082.5
Hollow Man Collection,2,95.0,95.0,190.213455,190.213455,5.199999999999999,7.0910125,2.0022468947368424,352.5
Home Alone Collection,5,68.0,22.666666666666668,914.758871,304.91962366666667,5.54,6.593538,19.943982277777778,1174.2
Homeward Bound Collection,2,0.0,,32.709423,32.709423,6.3,10.92213,,161.5
Honey Collection,3,18.0,18.0,62.646763,62.646763,5.7,6.911851333333334,3.480375722222222,162.0
"Honey, I Shrunk the Kids Collection",3,79.0,26.333333333333332,281.386624,140.693312,5.333333333333333,10.146955666666667,4.2133458375,390.0
Hoodwinked! Collection,2,45.0,22.5,64.575616,32.287808,5.4,7.8907805,1.9271567166666668,313.0
Hooked Collection,2,7.0,3.5,5.998765000000001,2.9993825000000003,5.55,1.3923714999999999,0.8569664285714286,13.5
Hopalong Cassidy films,1,0.0,,0.0,,,0.006208,,0.0
Hornblower Collection,2,0.0,,0.0,,6.75,1.5589600000000001,,14.0
Horrible Bosses Collection,2,77.0,38.5,224.670357,112.3351785,6.25,15.3801585,2.953218535714286,1958.0
Horror High Collection,1,0.0,,0.0,,4.9,3.048608,,19.0
Hostel Collection,3,21.0,7.0,116.198455,58.0992275,5.366666666666667,9.380362,10.139693909313726,550.0
Hot Shots! Collection,2,51.0,25.5,314.84898899999996,157.42449449999998,6.300000000000001,12.254582,6.157675038461538,525.5
Hot Tub Time Machine Collection,2,50.0,25.0,76.88691299999999,38.443456499999996,5.45,9.2715225,1.3366459365079364,635.5
Hot Wheels: AcceleRacers - Collection,1,0.0,,0.0,,7.7,1.914671,,6.0
Hotel Transylvania Collection,2,165.0,82.5,831.602561,415.8012805,6.75,13.996081499999999,5.065760269852941,2075.0
House Collection,4,3.0,3.0,9.538897,4.7694485,4.7,7.40466525,,64.75
House Party Collection,4,2.5,2.5,26.386,26.386,4.8,2.693192,10.5544,22.5
House of 1000 Corpses Collection,2,7.0,7.0,16.829545,16.829545,6.3,11.6153185,2.404220714285714,319.5
House of Angels Collection,1,0.0,,0.0,,5.3,1.43749,,15.0
House of the Dead Collection,2,13.0,6.5,13.818181,13.818181,3.4,4.197422,1.974025857142857,67.5
House on Haunted Hill Collection,2,19.0,19.0,40.846082,40.846082,5.3,12.5040145,2.1497937894736845,134.5
Housefull Collection,3,0.0,,0.0,,5.133333333333334,1.8417383333333335,,27.666666666666668
How I Unleashed World War II,1,0.0,,0.0,,7.0,0.202468,,3.0
How to Train Your Dragon Collection,2,310.0,155.0,1104.001807,552.0009035,7.55,13.336685,3.6000569064785792,3741.0
I Am Curious Collection,2,0.0,,0.0,,5.1,1.105647,,14.5
I Know What You Did Last Summer Collection,3,82.0,41.0,165.58824600000003,82.79412300000001,4.833333333333333,7.887866666666667,4.0014183773755665,387.0
I Love a Mystery movie series,1,0.217,0.217,0.0,,7.6,1.4816200000000002,,24.0
I Spit on Your Grave (Original) Collection,1,0.65,0.65,0.0,,5.8,12.412877,,140.0
I Spit on Your Grave Collection,3,2.0,2.0,0.573618,0.286809,5.766666666666667,15.690000666666668,0.2864045,339.3333333333333
I due carabinieri Collecion,1,0.0,,0.0,,5.9,0.169231,,20.0
I pompieri - Collezione,1,0.0,,0.0,,5.4,2.017345,,56.0
I soliti idioti Collection,1,0.0,,0.0,,4.1,2.137039,,45.0
Ice Age Collection,5,429.0,85.8,3216.708553,643.3417105999999,6.38,16.0752344,8.26175975,2643.8
If I Were You Collection,2,0.0,,0.0,,6.15,2.643948,,57.5
If These Walls Could Talk Collection,2,0.0,,0.0,,5.9,2.2494985,,19.5
If You Are the One (Collection),1,0.0,,0.0,,6.5,3.207363,,22.0
Il Maresciallo Giraldi Collection,10,0.0,,0.0,,6.39,0.30418579999999995,,5.2
Il medico della mutua Collection,1,0.0,,0.0,,7.0,0.8404219999999999,,22.0
Il tassinaro,1,0.0,,0.0,,6.5,0.28369,,10.0
"Ilsa, She Wolf of the SS Collection",4,0.237,0.237,0.0,,4.699999999999999,2.7822737500000003,,24.0
Immaturi Collection,1,0.0,,0.0,,6.0,4.00779,,167.0
"Impy, the small dinosaur Collection",2,0.0,,0.0,,6.55,1.4987605,,11.0
In China They Eat Dogs Collection,2,0.0,,0.0,,7.2,4.5332004999999995,,59.0
In the Line of Duty Collection,1,0.0,,0.0,,7.4,1.0600969999999998,,11.0
In the Name of the King Collection,3,68.0,22.666666666666668,0.0,,3.8333333333333335,4.483915333333335,,96.0
In the Vineyard Collection,1,0.0,,0.0,,8.0,0.519491,,4.0
Independence Day Collection,2,240.0,120.0,1206.651203,603.3256015,5.800000000000001,17.314019000000002,6.6273161351515135,2942.0
Indiana Jones Collection,4,279.0,69.75,1983.73381,495.9334525,7.025,15.76753375,10.885718217261903,3142.25
Infernal Affairs Collection,3,0.0,,8.708932,8.708932,7.3,7.168897666666666,,224.66666666666666
Inner Sanctum mysteries,5,0.0,,0.0,,7.08,0.46084820000000004,,6.6
Inoshika Ocho series,2,0.0,,0.0,,6.199999999999999,1.844565,,22.5
Insidious Collection,3,16.5,5.5,201.31300099999999,100.65650049999999,6.533333333333334,12.129085333333334,37.551575883333335,1339.0
Inspector Gadget Collection,2,87.0,43.5,0.0,,4.1,11.3006145,,207.0
Into the Blue Collection,2,50.0,50.0,44.43443900000001,44.43443900000001,5.449999999999999,7.7267185000000005,0.8886887800000003,250.5
Inuyasha Collection,1,0.0,,0.0,,6.6,1.243744,,15.0
Ip Man Collection,3,60.618387,20.206129,214.733351,71.57778366666666,7.066666666666666,5.644983666666666,2.790090126886324,792.3333333333334
Iron Eagle Collection,4,0.0,,0.0,,3.975,4.10820625,,26.0
Iron Man Collection,3,540.0,180.0,2424.5475469999997,808.1825156666665,6.933333333333334,21.625895333333332,4.179815871428572,8290.333333333334
Iron Sky Collection,1,7.5,7.5,8.135031,8.135031,5.6,19.561767,1.0846708,563.0
Ironclad Collection,2,25.0,25.0,0.0,,5.800000000000001,6.586321000000001,,132.5
Isi/Disi Collection,1,0.0,,0.0,,5.5,1.437794,,13.0
It's Alive Collection,3,0.0,,0.0,,5.033333333333333,1.8137523333333334,,22.666666666666668
Ivan Brovkin Collection,1,0.0,,0.0,,6.5,1.201447,,2.0
Ivan The Terrible Collection,2,0.0,,0.0,,7.0,1.9111339999999999,,25.5
Ivan Tsarevich & the Grey Wolf Collection,3,0.0,,27.724000000000004,13.862000000000002,6.333333333333333,1.6397030000000001,,6.333333333333333
Jack Frost Collection,2,0.0,,0.0,,5.05,3.6025215,,32.0
Jack Reacher Collection,2,120.0,60.0,380.486671,190.2433355,5.8,14.197716,3.170722258333333,2444.5
Jackass Collection,7,51.0,12.75,406.116832,101.529208,6.071428571428571,9.998902285714285,8.369174506060606,311.0
James Bond Collection,26,1539.65,59.2173076923077,7106.970239,273.3450091923077,6.338461538461539,13.453502423076923,6.128921627281947,1284.3076923076924
Jarhead Collection,3,72.0,72.0,96.889998,96.889998,5.8999999999999995,5.229815666666667,1.3456944166666667,296.3333333333333
Jeepers Creepers Collection,2,27.0,13.5,122.32045500000001,61.160227500000005,5.8,12.6001975,4.816850214705883,517.5
Jesse Stone Collection,9,0.0,,0.0,,6.511111111111111,3.714960555555556,,22.88888888888889
Jingle All the Way Collection,2,65.0,32.5,129.83238899999998,129.83238899999998,4.75,5.173463,2.1638731499999997,297.0
Joe Dirt Collection,2,17.7,17.7,30.987695,30.987695,4.9,7.5340355,1.750717231638418,146.0
Johan Falk Collection,3,4.667404,4.667404,0.0,,6.3999999999999995,1.7397136666666666,,12.0
Johan Falk GSI Collection,12,0.0,,0.0,,6.5,1.5208579999999998,,9.25
John Pinette Collection,2,0.0,,0.0,,6.95,0.5232664999999999,,5.0
John Wick Collection,2,60.0,30.0,260.301548,130.150774,6.85,116.5589395,4.363290112500001,4211.5
Johnny English Collection,2,85.0,42.5,320.66160399999995,160.33080199999998,6.0,9.7043245,3.785938680555555,950.5
Johnny Tsunami Collection,2,0.0,,0.0,,5.0,3.3394649999999997,,18.5
Joséphine - Saga,1,0.0,,0.0,,6.0,4.870482,,109.0
Journey Collection,2,124.0,62.0,457.39482000000004,228.69741000000002,5.8,9.941521999999999,3.381242888888889,1201.5
Journey to the West Collection,1,0.0,,0.0,,6.8,10.506004,,95.0
Joy Ride Collection,3,28.0,14.0,36.642838,36.642838,5.333333333333333,5.7011476666666665,1.5931668695652172,147.0
Ju-on Collection,6,7.5,3.75,0.0,,6.116666666666667,3.6426346666666665,,69.0
Jump Street Collection,2,92.0,46.0,390.02694199999996,195.01347099999998,6.85,11.07613,4.284241473333333,3763.0
Jungle Jim Collection,3,0.0,,0.0,,3.0,0.15049633333333332,,0.3333333333333333
Jungledyret Hugo Collection,3,0.0,,0.0,,5.333333333333333,0.6616066666666667,,6.0
Jurassic Park Collection,4,379.0,94.75,3031.484143,757.87103575,6.5,10.77281025,7.027788554838709,4608.75
Justice League (Animated) Collection,4,10.5,3.5,5.155325,5.155325,6.975,7.3705385,1.4729500000000002,277.75
Jönsson Gang,8,0.0,,0.0,,5.1375,0.65686875,,11.875
K-9 Collection,3,17.0,17.0,78.247647,78.247647,5.433333333333334,6.222198666666667,4.602802764705882,98.0
K3 Collectie,1,0.0,,0.0,,5.5,0.043827,,1.0
Karas The Collection,1,0.0,,0.0,,6.2,1.035921,,6.0
Karlson Collection,2,0.0,,0.0,,6.5,0.6589975,,13.0
Kathleen Madigan Collection,1,0.0,,0.0,,6.8,0.246567,,4.0
Kati Collection,1,0.0,,0.0,,6.5,0.965482,,5.0
Keinohrhasen Filmreihe,2,0.0,,130.02344699999998,65.01172349999999,6.15,6.2175615,,116.5
Kenji Misumi's Trilogy of the Sword,1,0.0,,0.0,,9.0,0.66192,,2.0
Kenny Rogers Legend Of The Gambler,2,0.0,,0.0,,3.05,0.4021055,,3.0
Kevin Smith: Silent Bob Speaks!,6,0.0,,0.0,,6.566666666666666,1.9915108333333336,,12.5
Kick-Ass Collection,2,56.0,28.0,156.888903,78.4444515,6.699999999999999,15.415357,2.8015875535714287,3511.0
Kickboxer Collection,6,18.9,6.3,15.947717,7.9738585,4.583333333333333,4.752205333333333,9.798003333333334,75.5
Kidulthood Collection,2,0.994,0.994,0.165,0.165,6.1,4.7575985,0.1659959758551308,54.5
Kiler Collection,2,0.0,,0.0,,8.1,1.270833,,14.0
Kill Bill Collection,2,60.0,30.0,333.10846100000003,166.55423050000002,7.7,23.397468500000002,5.551807683333335,4576.0
Kill Buljo Collection,1,0.16,0.16,0.0,,6.6,0.629188,,12.0
Killer Crocodile Collection,1,0.0,,0.0,,6.6,0.425363,,7.0
Killer Tomatoes! Collection,4,0.09,0.09,0.0,,4.475,2.45522275,,34.25
Killjoy,3,0.03,0.03,0.0,,4.5,0.7573113333333333,,7.0
Kim Possible Collection,1,0.0,,0.0,,6.3,1.789375,,48.0
Kindergarten Cop Collection,2,15.0,15.0,201.957688,201.957688,5.199999999999999,8.7988135,13.463845866666666,353.0
King Kong (1933 series),2,0.922,0.461,10.0,10.0,6.45,5.252082,14.88095238095238,188.5
King Kong (1976 series),2,33.0,16.5,95.325665,47.6628325,5.25,4.237005,2.205440239130435,104.0
King of the Zombies Collection,2,0.0,,0.0,,5.15,0.9323005,,5.5
Kingsman Collection,1,81.0,81.0,414.351546,414.351546,7.6,28.224212,5.115451185185185,6069.0
Kirikou,2,0.0,,0.0,,6.65,4.838422,,147.0
Kizumonogatari,3,0.0,,0.0,,8.633333333333333,2.754726,,10.666666666666666
Klassefesten (Samling),2,1.0,1.0,0.0,,5.15,1.1360005,,10.5
Kleines Arschloch Collection,1,0.0,,0.0,,4.7,1.238404,,17.0
Klovn,2,0.0,,0.0,,6.199999999999999,2.1524805000000002,,37.5
Knerten Collection,1,0.0,,0.0,,3.5,0.229765,,2.0
Kocan Kadar Konuş Serisi,1,0.0,,0.0,,6.4,0.656589,,7.0
Koker Trilogy,3,0.0,,0.0,,7.366666666666667,1.508489,,24.333333333333332
Kokowääh Filmreihe,2,5.65,5.65,43.0,43.0,6.15,5.139809,7.610619469026548,90.0
Kolpaçino Serisi,1,2.0,2.0,0.0,,6.3,0.95907,,3.0
Korengal Valley Documentaries,2,0.0,,1.42291,1.42291,7.199999999999999,2.8077154999999996,,72.0
Krrish Collection,3,6.2181,6.2181,0.0,,5.8999999999999995,6.272853666666666,,42.0
Krummerne (Samling),1,0.0,,0.0,,6.7,0.791976,,5.0
Kung Fu Mahjong Collection,1,0.0,,0.0,,5.5,0.4342689999999999,,5.0
Kung Fu Panda Collection,3,425.0,141.66666666666666,1818.6076659999999,606.2025553333333,6.766666666666667,14.358670000000002,4.43794854,2262.0
Kusswechsel Filmreihe,2,0.0,,0.0,,5.4,4.9793994999999995,,141.0
Kvartet I Collection,6,8.95,2.983333333333333,39.409191,9.85229775,7.1000000000000005,1.3971558333333334,3.9584170000000003,21.333333333333332
L'allenatore nel pallone - Collezione,2,0.0,,10.743767,10.743767,5.35,0.956484,,53.0
LEGO DC Comics Super Heroes Collection,5,0.0,,0.0,,6.42,2.8342403999999997,,34.8
La Classe Américaine & Cie,2,0.0,,0.0,,7.25,4.078033499999999,,30.0
La Tour Infernale,1,0.0,,0.0,,6.6,4.743842,,155.0
La Trilogie Marseillaise,3,0.0,,0.0,,7.3999999999999995,0.571858,,7.0
La cage aux folles,2,0.0,,27.374384,13.687192,6.300000000000001,2.3404985,,37.0
La trilogie de la mort – Nacho Cerda,2,0.0,,0.0,,6.4,1.334819,,25.0
Lady Snowblood Collection,1,0.0,,0.0,,7.8,7.2284570000000015,,79.0
Lady and the Tramp Collection,2,0.0,,93.6,93.6,6.45,11.333454,,748.5
Laid to Rest Collection,2,0.0,,0.0,,5.0,2.639557,,36.5
Lake Placid Collection,5,29.5,14.75,56.870414,56.870414,4.5200000000000005,7.2712048,2.1063116296296296,73.6
Lammbock Collection,1,0.0,,0.0,,7.0,9.634205,,66.0
Lamù Collection,1,0.0,,0.0,,7.1,2.3102970000000003,,7.0
Largo Winch Collection,2,46.58176,23.29088,0.0,,6.0,7.1533195,,151.5
LasseMaja: Samling,1,0.0,,0.0,,5.0,1.193855,,1.0
Lassie (Kinofilme),6,0.0,,0.0,,4.316666666666666,0.829234,,7.166666666666667
Lauras Stern,1,0.0,,0.0,,5.2,1.997269,,17.0
Lavalantula Collection,2,0.0,,0.0,,5.25,4.2786725,,30.5
Le Cœur des Hommes,2,0.0,,0.0,,6.25,1.900308,,28.0
Le Gendarme de St. Tropez Collection,6,0.0,,0.0,,6.366666666666667,4.98545,,90.0
Lee Rock Collection,1,0.0,,0.0,,5.3,1.807175,,3.0
Left Behind Collection,3,0.0,,0.0,,4.533333333333334,1.6766569999999998,,27.666666666666668
Legally Blonde Collection,3,63.0,31.5,266.689521,133.3447605,5.266666666666667,11.853944333333333,5.326128216666667,447.3333333333333
Legend of the Galactic Heroes Collection,3,0.0,,0.0,,7.766666666666667,0.7618386666666667,,5.333333333333333
Legends of the Poisonous Seductress,1,0.0,,0.0,,7.7,0.142424,,3.0
Lemmy Caution Collection,1,0.22,0.22,0.0,,6.8,4.658149,,100.0
Lemon Popsicle Collection,1,0.0,,0.0,,6.6,1.915814,,12.0
Leningrad Cowboys Collection,2,0.0,,0.0,,6.4,3.569951,,17.0
Leprechaun Collection (Original Series),6,2.9,1.45,10.817561999999999,5.408780999999999,4.633333333333334,4.9428003333333335,5.319011055555555,50.333333333333336
Les Boys,1,0.0,,0.0,,5.4,0.530702,,7.0
Les Charlots - Saga,1,0.0,,0.0,,6.5,2.793815,,13.0
Les Mystères de l'ouest (Collection),2,0.0,,0.0,,5.7,0.0660915,,2.5
Les Profs,1,12.0,12.0,0.0,,5.4,0.240446,,367.0
Les Ripoux - Trilogie,3,0.0,,0.0,,5.8999999999999995,2.057598666666667,,25.0
Les Tuche,2,0.0,,0.0,,5.9,4.388467,,261.0
Lethal Weapon Collection,4,215.0,53.75,955.237243,238.80931075,6.6,12.818659499999999,8.563983953333334,1009.75
Letters to Santa Collection,1,0.0,,0.0,,7.1,1.805839,,25.0
Lew Harper Collection,2,3.5,3.5,12.0,12.0,6.4,5.793448,3.4285714285714284,29.0
Lezioni di Cioccolato Collection,1,0.0,,0.0,,5.8,2.064569,,42.0
Library Wars Collection,2,0.0,,0.0,,5.5,0.69292,,1.5
Like Mike Collection,2,35.0,17.5,0.0,,4.65,3.8392025,,58.5
Lilla Jönsonligan Collection,2,0.0,,0.0,,5.1,1.028304,,7.0
Lilo & Stitch Collection,4,80.0,80.0,145.771527,145.771527,6.525,11.62678675,1.8221440875,447.5
Little Bear,1,0.0,,0.0,,6.0,0.082116,,2.0
Little Forest Collection,2,0.0,,0.0,,8.350000000000001,1.7317645000000002,,15.5
Little Nicholas Collection,2,0.0,,0.0,,5.550000000000001,7.9824765,,217.5
Little Witch Academia Collection,2,0.48062499999999997,0.24031249999999998,0.0,,7.199999999999999,3.1157445000000004,,44.5
Living Dead Collection,6,25.264,4.210666666666667,171.13546,34.227092,6.316666666666666,12.177878333333332,9.714285714285714,361.8333333333333
Living Trilogy,3,0.0,,0.0,,6.8999999999999995,4.082531333333333,,77.0
Lone Wolf and Cub Collection,6,0.0,,0.0,,6.983333333333333,1.9511536666666667,,32.333333333333336
Lone Wolf film series,3,0.0,,0.0,,6.766666666666667,0.16773366666666667,,1.6666666666666667
Lonesome Dove Collection,4,0.0,,0.0,,5.15,0.57788575,,5.0
Long Arm of the Law Collection,1,0.0,,0.0,,6.3,0.979872,,8.0
Look Who's Talking Collection,3,7.5,7.5,296.0,296.0,5.166666666666667,7.080267,39.46666666666667,354.3333333333333
Loose Change Collection,2,0.005,0.005,0.0,,6.4,1.4689655000000001,,23.5
Los Leguineche - Colección,1,0.0,,1.622164,1.622164,7.2,0.619347,,14.0
Lost Boys Collection,3,12.9,6.45,32.222567,32.222567,5.6000000000000005,5.239609000000001,3.7908902352941176,213.0
Lotta,2,0.0,,0.0,,5.65,0.735637,,5.5
Love Hina Collection,2,0.0,,0.0,,5.1,1.061806,,4.5
Love in a... Collection,2,0.0,,0.0,,6.4,1.467663,,17.5
Love in the City Collection,3,3.5,3.5,19.31055,9.655275,5.133333333333334,0.7114206666666667,2.6034837142857143,8.0
Lovey-Dovey Collection,1,4.0,4.0,0.0,,3.9,1.174113,,7.0
Lucky Luke (Animation) Collection,2,0.0,,0.0,,6.8,2.0499285,,18.5
Lucky Luke (Terence Hill) Collection,1,0.0,,0.0,,4.8,1.8071,,31.0
Lucky Stars Collection,3,9.023199,9.023199,0.0,,6.433333333333334,3.832437666666667,,26.0
Lupin the Third Collection,6,10.5,10.5,0.0,,6.283333333333334,2.875189666666666,,38.833333333333336
M.D. Geist Collection,2,0.0,,0.0,,4.75,0.7343785,,4.0
MVP,2,0.0,,0.0,,5.35,0.9777165000000001,,8.5
Ma and Pa Kettle Collection,2,0.0,,0.0,,6.65,0.4680935,,6.5
MacGyver (TV Movies) Collection,2,0.0,,0.0,,5.55,2.1693715,,17.0
Machete Collection,2,32.0,16.0,46.336059999999996,23.168029999999998,5.8,8.185743500000001,1.4085375166666667,906.5
Macon County Collection,1,0.0,,0.0,,7.6,0.250261,,4.0
Macross Frontier Collection,1,0.0,,0.0,,5.8,1.032299,,3.0
Macskafogó gyűjtemény,1,0.0,,0.0,,8.0,1.83837,,20.0
Mad Max Collection,4,164.705523,41.17638075,539.689391,134.92234775,6.775,16.163469499999998,7.622320115836117,3152.5
Madagascar Collection,4,502.0,125.5,2257.054393,564.26359825,6.425,16.20889975,4.58859178,2105.0
Madeline,1,0.0,,0.0,,6.0,0.912352,,1.0
Madicken,2,0.0,,0.0,,5.9,1.9054665000000002,,5.0
Magic Kid Collection,1,0.0,,0.0,,4.5,0.6965319999999999,,4.0
Magic Mike Collection,2,21.8,10.9,289.73462799999993,144.86731399999996,6.15,8.7511775,16.083352556949805,889.0
Maigret (Rowan Atkinson) Collection,3,0.0,,0.0,,6.866666666666667,2.5755193333333337,,19.0
Major Korenev Trilogy,3,7.5,3.75,5.16634,1.7221133333333334,4.466666666666666,0.4526586666666666,0.46223679999999995,4.666666666666667
Major League Collection,3,11.0,11.0,83.995773,27.998591,5.3999999999999995,7.167034999999999,4.527013454545455,108.33333333333333
Mall Cop Collection,2,64.0,32.0,290.89037299999995,145.44518649999998,5.1,15.011751,4.940621088056679,691.5
Mamma Mia! Collection,1,52.0,52.0,609.841637,609.841637,6.4,10.534437,11.727723788461539,1435.0
Man of Marble/Iron Collection,2,0.0,,0.0,,5.949999999999999,1.8348445,,15.5
Man of Steel Collection,2,475.0,237.5,1536.105712,768.052856,6.1,24.9873565,3.219510428,6825.5
Mandıra Filozofu Serisi,1,0.0,,0.0,,5.9,0.765972,,7.0
Maniac Cop Collection,3,5.1,2.55,0.0,,5.333333333333333,3.7294780000000003,,50.0
Mann Filmreihe,1,0.0,,0.0,,6.3,2.370516,,13.0
Mannequin Collection,2,19.0,9.5,46.473622,23.236811,5.05,5.577066,3.7044237435897434,79.0
Manuale d'amore - Collezione,2,0.0,,0.0,,5.15,6.415957499999999,,58.5
Mardock Scramble Collection,2,0.0,,0.0,,6.75,2.3718275,,20.0
"Maria, ihm schmeckt's nicht!",1,0.0,,0.0,,5.5,1.907941,,15.0
Mark Collection,3,0.0,,0.0,,,0.10293566666666666,,0.0
Marley & Me Collection,2,60.0,60.0,244.082376,244.082376,6.1,9.612870000000001,4.0680396000000005,714.5
Martial Law Collection,1,0.0,,0.0,,5.7,0.627188,,8.0
"Martin Scorsese’s World Cinema Project, Vol. 1",6,0.2,0.2,0.0,,6.233333333333333,0.7785423333333333,,6.833333333333333
Masti Collection,2,5.5,5.5,47.0,47.0,5.35,1.1674975,8.545454545454545,11.0
Max (Collection),1,20.0,20.0,43.967255,43.967255,6.8,7.987747,2.1983627500000003,282.0
McHale's Navy Collection,2,0.0,,4.529843,4.529843,4.95,1.4218715,,14.5
Mean Girls Collection,2,17.0,17.0,129.042871,129.042871,6.0,9.4851355,7.590757117647058,1341.0
Meatballs Collection,4,0.0,,0.0,,4.275,2.66934775,,27.5
Mechanic Collection,2,80.0,40.0,176.80044200000003,88.40022100000002,5.8,12.0604595,2.210005525,1151.0
Meet the Parents Collection,3,235.0,78.33333333333333,1157.737569,385.91252299999996,6.066666666666666,11.931359,6.008073545454546,1415.6666666666667
Mega Shark Collection,3,0.0,,0.0,,3.1666666666666665,4.608244333333333,,40.666666666666664
Megazone 23 Collection,2,0.0,,0.0,,4.65,0.0026079999999999498,,3.0
Memories Collection,1,0.0,,0.0,,7.9,0.987992,,11.0
Men In Black Collection,3,455.0,151.66666666666666,1655.2361179999998,551.7453726666666,6.433333333333334,14.413708333333334,3.1558485928571427,3979.0
Men in the City Collection,2,0.0,,0.0,,5.95,2.311563,,41.0
Meu Passado me Condena,1,0.0,,0.0,,6.5,2.994109,,69.0
Mexico Trilogy,3,36.22,12.073333333333332,125.631947,41.87731566666667,6.533333333333334,8.588804666666666,3.629349285714286,582.0
Mi Nismo Anđeli Collection,1,0.0,,0.0,,7.7,0.722909,,18.0
Mickey's Upon a Christmas Collection,2,0.0,,0.0,,6.9,6.0450095,,78.0
Midnight Diner Collection,1,0.0,,0.0,,7.6,2.094312,,10.0
Mikogami Trilogy / Wanderer Jôkichi,1,0.0,,0.0,,,0.002671,,0.0
Miles Jupp Standup Collection,1,0.0,,0.0,,,0.055419,,0.0
Mimic Collection,3,40.0,20.0,25.48049,25.48049,5.1000000000000005,5.607140333333334,0.8493496666666667,115.0
Minions: 3 Mini-Movie Collection,1,0.0,,0.0,,5.7,3.232132,,12.0
Mirrors Collection,2,35.0,35.0,72.43643900000002,72.43643900000002,5.7,7.2744295,2.0696125428571435,302.0
Miss Congeniality Collection,2,45.0,45.0,212.0,212.0,5.699999999999999,7.625102,4.711111111111111,710.0
Missing in Action Collection,3,3.91,1.955,39.761759,13.253919666666667,5.0,7.571361666666667,9.835557539419089,75.66666666666667
Mission: Impossible Collection,5,650.0,130.0,2778.9779949999997,555.7955989999999,6.6,16.5097104,4.548867593333332,2801.0
Mister Blot Collection,2,0.0,,0.0,,6.0,0.8663684999999999,,2.5
Mister Roberts Collection,1,0.0,,0.0,,7.3,2.593458,,43.0
Mobile Suit Gundam Collection,2,0.0,,0.0,,6.65,0.5181575,,9.5
Mods Collection,1,0.012,0.012,0.0,,6.4,1.289488,,8.0
Mommies Collection,2,2.0,2.0,11.666088,11.666088,5.199999999999999,1.054749,5.833044,9.5
Mondo Cane Collection,1,0.0,,0.0,,6.6,1.3411,,18.0
Monster High Collection,14,0.5,0.5,0.0,,6.485714285714286,3.5919220714285713,,12.571428571428571
Monsters Collection,2,0.5,0.5,4.242978,4.242978,5.2,9.401218,8.485956,350.5
"Monsters, Inc. Collection",3,315.0,157.5,1306.375863,653.1879315,7.133333333333333,16.50120366666667,4.3059262175,3304.3333333333335
Mortal Kombat Collection,2,48.0,24.0,173.572781,86.7863905,4.6,8.701318,4.250612127777778,338.5
Moskva-Kassiopeya Collection,2,0.0,,0.0,,4.35,0.9449925,,4.5
Mostly Ghostly Collection,3,3.6,3.6,0.0,,4.766666666666667,2.7809983333333332,,14.0
Mothra Collection,4,0.0,,0.0,,6.0,1.2543385000000002,,10.75
Mountain Family Robinson Collection,2,0.0,,0.0,,5.35,1.259396,,6.0
Mr. Bean Collection,2,43.0,21.5,480.94901400000003,240.47450700000002,6.199999999999999,11.4991915,11.572856602222224,642.0
Mr. Bones Collection,1,0.0,,0.0,,5.1,1.06374,,4.0
Mr. Boogedy Collection,1,0.0,,0.0,,4.8,0.2110199999999999,,3.0
Mr. Moto Collection,7,0.0,,0.0,,5.7,1.2395282857142857,,5.285714285714286
Mr. Vampire Collection,2,0.0,,0.0,,6.4,2.4419760000000004,,11.0
Mr. Wong Collection,3,0.0,,0.0,,5.8,0.412117,,4.0
Mrs. Miracle Collection,1,0.0,,0.0,,5.2,1.418224,,24.0
Mulan Collection,2,90.0,90.0,304.320254,304.320254,6.8,14.302672,3.3813361555555552,1269.5
Munna Bhai Collection,2,0.0,,0.0,,7.449999999999999,3.167628,,49.5
"Murder, She Baked Collection",3,0.0,,0.0,,7.566666666666666,3.5707276666666665,,11.333333333333334
My Big Fat Greek Wedding Collection,2,23.0,11.5,457.66729499999997,228.83364749999998,5.9,6.532455000000001,39.344494705555555,507.0
My Bloody Valentine Collection,2,17.2,8.6,100.734718,100.734718,5.85,4.3264905,6.715647866666667,189.5
My Friends Collection,2,0.0,,0.0,,7.15,3.9201255,,78.0
My Girl Collection,2,16.5,16.5,0.0,,6.2,6.758737999999999,,276.0
My Little Pony: Equestria Girls Collection,3,0.0,,0.0,,5.866666666666666,3.9529479999999997,,23.666666666666668
My Mom is a Character Collection,2,0.0,,0.0,,7.75,4.260336000000001,,108.5
My Sassy Girl Collection,1,0.0,,0.0,,7.3,5.980499,,158.0
My Sisters Kids Collection,1,0.0,,0.0,,6.4,0.724368,,5.0
My Wife is a Gangster Collection,2,0.0,,0.0,,6.25,1.6264185,,12.0
Mystery Woman,1,0.0,,0.0,,0.0,0.708052,,1.0
Mythica Collection,5,0.0,,0.0,,5.5600000000000005,4.683222,,29.8
Mörderischer Norden,1,0.0,,0.0,,,0.003565,,0.0
NASU Collection,1,0.0,,0.0,,7.7,0.191879,,5.0
Nadodikkattu Collection,1,0.0,,0.0,,7.3,0.112792,,4.0
Naked Collection,3,0.0,,0.0,,5.366666666666667,1.6409963333333335,,22.666666666666668
Naked Fear Collection,1,0.0,,0.0,,5.4,2.512786,,14.0
