,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
Barefoot Gen Collection,2,0.0,,0.0,,6.4,2.2817724999999998,,18.5
Barney Collection,1,0.0,,0.0,,2.9,1.197711,,8.0
Barrytown Trilogy,3,0.0,,0.0,,6.533333333333334,3.2392853333333336,,56.0
Basic Instinct Collection,2,119.0,59.5,391.55670200000003,195.77835100000001,5.55,15.975164499999998,3.877223046938776,526.0
Basket Case Collection,3,2.535,1.2675,0.0,,5.533333333333334,4.378856,,43.666666666666664
Batman (DC Universe Animated) Collection,3,6.0,6.0,5.6173910000000005,5.6173910000000005,6.966666666666666,6.712911666666667,0.9362318333333334,128.0
Batman Beyond Collection,2,0.0,,0.0,,7.35,5.117802500000001,,96.5
Batman Collection,4,340.0,85.0,1266.08519,316.5212975,5.75,16.11714725,3.43264572,1706.75
Batman Unlimited Collection,3,0.0,,0.0,,5.566666666666666,3.9582113333333333,,34.333333333333336
Batman: The Dark Knight Returns Collection,2,7.0,3.5,0.0,,7.800000000000001,12.3418965,,418.0
Bats Collection,1,0.0,,1e-05,1e-05,4.1,2.584025,,35.0
Battle Royale Collection,2,13.5,6.75,25.0,25.0,6.1,10.1007585,5.555555555555555,553.5
Battlestar Galactica (Reboot) Collection,2,0.0,,0.0,,6.9,5.5676305,,135.5
Beach Party Collection,6,0.0,,0.0,,6.583333333333333,1.9153003333333334,,11.0
Beastmaster Collection,2,6.0,6.0,14.925853,7.4629265,5.3,4.8079595,0.1448875,58.0
Beauty and the Beast Collection,2,25.0,25.0,377.350553,377.350553,6.7,15.8014575,15.09402212,1616.0
Beck - Historien om ett brott,1,0.0,,0.0,,5.8,0.5107970000000001,,4.0
Beck Collection,5,0.0,,0.0,,5.74,0.6463224,,6.0
Beethoven Collection,7,15.0,15.0,265.457115,132.7285575,5.114285714285714,6.046884,7.882871066666666,107.0
Before... Collection,3,8.2,2.733333333333333,32.704489,10.901496333333334,7.533333333333334,9.885725333333333,3.725489666666667,767.0
Begotten Collection,1,0.033,0.033,0.0,,5.0,2.592052,,64.0
Behind Enemy Lines Collection,4,40.0,40.0,91.753202,91.753202,5.075,8.04281325,2.29383005,143.0
Belle et Sébastien,2,0.0,,0.0,,6.85,4.370148,,105.5
Benvenuti al... Collection,2,10.0,5.0,100.58467900000001,50.292339500000004,6.1,5.9596475,11.114751541666667,335.5
Berserk: Golden Age Arc,3,0.0,,0.0,,7.233333333333333,8.260594666666666,,76.66666666666667
Best Exotic Marigold Hotel Collection,2,20.0,10.0,222.81442200000004,111.40721100000002,6.6,7.217467,11.1407211,372.5
Best of the Best Collection,2,0.0,,6.5,6.5,5.949999999999999,7.3105085,,21.5
Beverly Hills Chihuahua Collection,3,20.0,20.0,161.281606,80.640803,5.366666666666667,5.720748333333333,7.464080300000001,103.33333333333333
Beverly Hills Cop Collection,3,85.0,28.333333333333332,735.534503,245.17816766666667,6.133333333333333,9.830534333333334,14.9982518,685.6666666666666
Bhoothnath Collection,2,0.0,,0.0,,6.5,1.2281035,,22.5
Big Man Collection,2,0.0,,0.0,,,0.045954999999999996,,0.0
Big Momma's House Collection,3,102.0,34.0,395.83391399999994,131.94463799999997,5.433333333333334,7.722212333333334,3.45647655,404.0
Bikini Summer Collection,3,0.0,,0.0,,3.0,0.029239333333333267,,1.3333333333333333
Bill & Ted's Most Excellent Collection,2,10.0,10.0,40.485039,40.485039,6.300000000000001,11.182776999999998,4.0485039,387.5
Billa Collection,2,0.0,,0.0,,6.25,1.8027205,,13.0
Billy Jack Collection,4,0.36000699999999997,0.18000349999999998,36.0,36.0,6.25,0.9735664999999999,100.0,10.5
Bionicle Collection,4,0.0,,0.0,,5.675,3.28123425,,18.0
Birdemic Collection,2,0.0,,0.0,,2.6500000000000004,1.9302739999999998,,44.5
Black & White Collection,1,12.0,12.0,0.0,,6.6,1.091711,,8.0
Black Emanuelle Collection,7,0.0,,0.0,,4.514285714285714,1.858007142857143,,9.857142857142858
Black Magic Collection,1,0.0,,0.0,,5.7,1.441442,,8.0
Black Scorpion Collection,3,0.0,,0.0,,6.6000000000000005,1.2654646666666667,,3.6666666666666665
Blacula Collection,2,0.5,0.5,0.0,,5.85,1.878325,,29.0
Blade Collection,3,164.0,54.666666666666664,415.098928,138.36630933333333,6.166666666666667,16.984925,2.870556148148148,1594.0
Blade Runner Collection,1,28.0,28.0,33.139618,33.139618,7.9,96.272374,1.1835577857142856,3833.0
Blair Witch Collection,3,5.06,2.53,293.172994,146.586497,5.166666666666667,10.510580666666666,2071.183966066667,632.0
Bleach (Collection),2,0.0,,0.0,,6.7,3.1367659999999997,,33.0
Blondie Collection,5,0.0,,0.0,,7.3,0.38167739999999994,,2.6
Blood Island (Hammer series),1,0.0,,0.0,,,0.055175,,0.0
BloodRayne Collection,3,45.0,15.0,2.40542,2.40542,3.5,5.657542,0.09621679999999999,78.0
Bloodfight,1,0.0,,0.0,,9.0,0.255977,,1.0
Bloodfist Collection,1,0.0,,0.0,,5.0,0.00195,,7.0
Bloodsport Collection,4,1.5,1.5,12.49047,6.245235,5.075,5.051595999999999,7.8707460000000005,105.5
Blue Collar Comedy Tour Collection,2,0.0,,0.6048560000000001,0.6048560000000001,6.4,1.0089405,,11.0
Blue Crush Collection,2,32.0,16.0,51.842679,51.842679,5.199999999999999,4.572596499999999,2.0737071599999997,98.0
Bon Cop Bad Cop Collection,2,8.0,8.0,12.6713,12.6713,6.65,6.488951500000001,1.5839125,24.0
Born Free Trilogy,2,0.0,,0.0,,6.6,1.556765,,20.5
Born To Race Collection,2,0.0,,0.0,,5.35,4.5589205,,32.5
Borsalino Collection,2,0.0,,3e-06,3e-06,6.7,3.0681545,,19.5
Boston Blackie Series,1,0.0,,0.0,,6.0,0.044321,,1.0
Boys Love Collection,2,0.0,,0.0,,3.8,1.1399024999999998,,4.5
Brancaleone Collection,2,0.0,,1.31423,1.31423,7.2,2.2662619999999998,,34.0
Break Blade Collection,5,0.0,,0.0,,5.6,0.4032068,,3.8
Breakin' Collection,2,0.0,,0.0,,5.449999999999999,5.0141865,,30.0
Brice Collection,2,0.0,,0.0,,4.9,6.178081500000001,,247.5
Bridget Jones Collection,3,110.0,36.666666666666664,534.085235,178.02841166666667,6.333333333333333,9.774277666666666,6.055783428571428,1048.0
Bring It On Collection,5,28.0,28.0,90.449929,90.449929,5.76,1.5488744,3.230354607142857,208.2
Brooklyn Cigar Store Collection,2,9.0,4.5,9.62443,4.812215,7.0,8.540546500000001,0.9151378571428571,71.5
Brother Bear Collection,2,100.0,100.0,0.0,,6.6,11.5810295,,864.0
Brother Collection,2,1.5,1.5,0.0,,7.050000000000001,3.0214705000000004,,46.5
Bulldog Drummond (Richard Johnson) Collection,2,0.0,,0.0,,6.6,0.86666,,6.0
Bullit & Riper Collection,2,9.0,9.0,0.0,,6.1,2.9101925,,55.0
Bummer Collection,2,0.7,0.7,1.6,1.6,5.95,1.657367,2.285714285714286,16.5
Burnout Collection,2,4.0,4.0,0.0,,7.55,2.2348879999999998,,11.0
Burnt by the Sun Trilogy,2,57.8,28.9,2.616503,2.616503,5.85,4.7886425,0.9344653571428572,25.0
C.H.U.D. Collection,2,1.25,1.25,3.412497,3.412497,4.4,4.696502499999999,2.7299976,43.5
Caballeros Collection,2,0.0,,0.0,,6.0,6.313401,,82.5
Cabin By The Lake Collection,1,0.0,,0.0,,5.5,5.390929,,13.0
Caddyshack Collection,2,6.0,6.0,39.846344,39.846344,5.3,8.4006335,6.641057333333333,214.5
Calcutta Trilogy,2,0.0,,0.0,,7.1,0.141006,,4.5
Camp Rock Collection,2,0.0,,0.0,,5.9,5.337341500000001,,393.0
Caméra Café,1,0.0,,0.0,,4.1,1.6357700000000002,,19.0
